순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,연령등급,러닝타임,감독,개봉월,계절
1.0,베테랑,2015-08-05,105000000000.0,6.40%,13414009.0,1115.0,199231.0,한국,한국,(주)씨제이이엔엠,액션,15세 관람가,123.0,류승완,8.0,여름
2.0,암살,2015-07-22,98463132781.0,6.00%,12705700.0,1519.0,175185.0,한국,한국,(주)쇼박스,액션,15세 관람가,139.0,최동훈,7.0,여름
3.0,어벤져스: 에이지 오브 울트론,2015-04-23,88582586366.0,5.40%,10494499.0,1843.0,191778.0,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",액션,12세 관람가,141.0,조스 웨던,4.0,봄
4.0,국제시장,2014-12-17,69841376134.0,4.30%,8915904.0,1044.0,149061.0,한국,한국,(주)씨제이이엔엠,드라마,12세 관람가,126.0,윤제균,12.0,겨울
5.0,내부자들,2015-11-19,56465665657.0,3.40%,7055332.0,1129.0,152265.0,한국,한국,(주)쇼박스,범죄,청소년 관람불가,130.0,우민호,11.0,가을
6.0,사도,2015-09-16,48842902501.0,3.00%,6246849.0,1210.0,124246.0,한국,한국,(주)쇼박스,드라마,12세 관람가,125.0,이준익,9.0,가을
7.0,킹스맨 : 시크릿 에이전트,2015-02-11,50369009795.0,3.10%,6129681.0,728.0,139988.0,미국,"미국,영국",이십세기폭스코리아(주),액션,청소년 관람불가,128.0,매튜 본,2.0,겨울
8.0,미션 임파서블: 로그네이션,2015-07-30,48547353607.0,3.00%,6126488.0,1202.0,89682.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세 관람가,131.0,크리스토퍼 맥쿼리,7.0,여름
9.0,연평해전,2015-06-24,45563228330.0,2.80%,6043784.0,1013.0,114450.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,130.0,김학순,6.0,여름
10.0,쥬라기 월드,2015-06-11,47800698826.0,2.90%,5546792.0,1290.0,118959.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세 관람가,127.0,후안 안토니오 바요나,6.0,여름
11.0,검은 사제들,2015-11-05,42405282092.0,2.60%,5442128.0,1109.0,131155.0,한국,한국,(주)씨제이이엔엠,공포,15세 관람가,88.0,돈 E. 폰트르로이,11.0,가을
12.0,히말라야,2015-12-16,39469775448.0,2.40%,5129409.0,1095.0,81042.0,한국,한국,(주)씨제이이엔엠,드라마,12세 관람가,124.0,이석훈,12.0,겨울
13.0,인사이드 아웃,2015-07-09,38024694936.0,2.30%,4969735.0,931.0,84000.0,미국,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체 관람가,102.0,피트 닥터,7.0,여름
14.0,마션,2015-10-08,39663145295.0,2.40%,4880800.0,1132.0,114183.0,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",모험,12세 관람가,144.0,리들리 스콧,10.0,가을
15.0,조선명탐정 : 사라진 놉의 딸,2015-02-11,30456879428.0,1.90%,3872015.0,825.0,80499.0,한국,한국,(주)쇼박스,코미디,12세 관람가,125.0,김석윤,2.0,겨울
16.0,매드 맥스: 분노의 도로,2015-05-14,32912842162.0,2.00%,3843343.0,799.0,98824.0,미국,"미국,호주",워너브러더스 코리아(주),액션,15세 관람가,120.0,조지 밀러,5.0,봄
17.0,인턴,2015-09-24,28517727148.0,1.70%,3610564.0,659.0,81552.0,미국,미국,워너브러더스 코리아(주),코미디,12세 관람가,121.0,낸시 마이어스,9.0,가을
18.0,분노의 질주: 더 세븐,2015-04-01,26454098694.0,1.60%,3247955.0,983.0,93612.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세 관람가,138.0,제임스 완,4.0,봄
19.0,터미네이터 제니시스,2015-07-02,26556715129.0,1.60%,3240370.0,1113.0,77590.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세 관람가,125.0,앨런 테일러,7.0,여름
20.0,스물,2015-03-25,23563421686.0,1.40%,3044811.0,926.0,100161.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세 관람가,115.0,이병헌,3.0,봄
21.0,극비수사,2015-06-18,22389535897.0,1.40%,2860786.0,894.0,66211.0,한국,한국,(주)쇼박스,드라마,15세 관람가,108.0,곽경택,6.0,여름
22.0,앤트맨,2015-09-03,23529209937.0,1.40%,2841795.0,949.0,74649.0,미국,"미국,영국",월트디즈니컴퍼니코리아(주),액션,12세 관람가,117.0,페이튼 리드,9.0,가을
23.0,스타워즈: 깨어난 포스,2015-12-17,24149478540.0,1.50%,2803234.0,940.0,56425.0,미국,미국,월트디즈니컴퍼니코리아(주),액션,12세 관람가,135.0,J.J. 에이브럼스,12.0,겨울
24.0,빅 히어로,2015-01-21,21993119765.0,1.30%,2801949.0,825.0,62229.0,미국,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체 관람가,108.0,돈 홀,1.0,겨울
25.0,메이즈 러너: 스코치 트라이얼,2015-09-16,21596946349.0,1.30%,2744413.0,804.0,58725.0,미국,미국,이십세기폭스코리아(주),액션,12세 관람가,132.0,웨스 볼,9.0,가을
26.0,탐정 : 더 비기닝,2015-09-24,20463956973.0,1.20%,2625686.0,764.0,54995.0,한국,한국,(주)씨제이이엔엠,코미디,15세 관람가,120.0,김정훈,9.0,가을
27.0,미니언즈,2015-07-29,18998046278.0,1.20%,2625599.0,792.0,41946.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체 관람가,87.0,카일 발다,7.0,여름
28.0,스파이,2015-05-21,18417637358.0,1.10%,2318748.0,665.0,62960.0,미국,미국,이십세기폭스코리아(주),코미디,15세 관람가,120.0,폴 페이그,5.0,봄
29.0,악의 연대기,2015-05-14,17361815332.0,1.10%,2192525.0,776.0,64351.0,한국,한국,(주)씨제이이엔엠,범죄,15세 관람가,102.0,백운학,5.0,봄
30.0,강남 1970,2015-01-21,17718699499.0,1.10%,2192276.0,841.0,53304.0,한국,한국,(주)쇼박스,액션,청소년 관람불가,135.0,유하,1.0,겨울
31.0,뷰티 인사이드,2015-08-20,16148479531.0,1.00%,2053435.0,648.0,52618.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),멜로/로맨스,12세 관람가,127.0,백종열,8.0,여름
32.0,오늘의 연애,2015-01-14,14924654487.0,0.90%,1891993.0,709.0,47237.0,한국,한국,(주)씨제이이엔엠,멜로/로맨스,15세 관람가,118.0,박진표,1.0,겨울
33.0,테이큰 3,2015-01-01,15088105000.0,0.90%,1860934.0,616.0,38060.0,미국,미국,이십세기폭스코리아(주),액션,15세 관람가,112.0,올리비에 메가턴,1.0,겨울
34.0,007 스펙터,2015-11-11,14301476030.0,0.90%,1820760.0,1105.0,51940.0,영국,"영국,미국",유니버설픽쳐스인터내셔널 코리아(유),액션,15세 관람가,148.0,샘 멘데스,11.0,가을
35.0,이미테이션 게임,2015-02-17,13655929120.0,0.80%,1743963.0,541.0,44782.0,영국,영국,플러스엠 엔터테인먼트,드라마,15세 관람가,114.0,모튼 틸덤,2.0,겨울
36.0,샌 안드레아스,2015-06-03,14435844152.0,0.90%,1716455.0,847.0,62016.0,미국,미국,워너브러더스 코리아(주),액션,12세 관람가,114.0,브래드 페이튼,6.0,여름
37.0,쎄시봉,2015-02-05,13571515911.0,0.80%,1715370.0,829.0,51744.0,한국,한국,(주)씨제이이엔엠,멜로/로맨스,15세 관람가,122.0,김현석,2.0,겨울
38.0,더 폰,2015-10-22,12309164568.0,0.80%,1593694.0,794.0,53599.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세 관람가,114.0,김봉주,10.0,가을
39.0,대호,2015-12-16,12104808332.0,0.70%,1584168.0,892.0,39599.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,139.0,박훈정,12.0,겨울
40.0,마다가스카의 펭귄,2014-12-31,11450482159.0,0.70%,1512340.0,615.0,27171.0,미국,미국,(주)씨제이이엔엠,애니메이션,전체 관람가,92.0,에릭 다넬,12.0,겨울
41.0,차이나타운,2015-04-29,11990370378.0,0.70%,1472106.0,551.0,45137.0,한국,한국,CGV아트하우스,범죄,청소년 관람불가,110.0,한준희,4.0,봄
42.0,장수상회,2015-04-09,8737364643.0,0.50%,1165780.0,688.0,52928.0,한국,한국,(주)씨제이이엔엠,드라마,12세 관람가,112.0,강제규,4.0,봄
43.0,성난 변호사,2015-10-08,8723650039.0,0.50%,1128288.0,607.0,36990.0,한국,한국,(주)씨제이이엔엠,범죄,15세 관람가,117.0,허종호,10.0,가을
44.0,간신,2015-05-21,8946842910.0,0.50%,1110246.0,697.0,40580.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,청소년 관람불가,131.0,민규동,5.0,봄
45.0,박물관이 살아있다 : 비밀의 무덤,2015-01-14,8170784606.0,0.50%,1101678.0,500.0,30146.0,미국,"미국,영국",이십세기폭스코리아(주),모험,전체 관람가,98.0,숀 레비,1.0,겨울
46.0,그놈이다,2015-10-28,8096427152.0,0.50%,1046015.0,681.0,38678.0,한국,한국,CGV아트하우스,스릴러,15세 관람가,109.0,윤준형,10.0,가을
47.0,미쓰 와이프,2015-08-13,7387086869.0,0.50%,988451.0,437.0,28864.0,한국,한국,플러스엠 엔터테인먼트,코미디,15세 관람가,125.0,강효진,8.0,여름
48.0,몬스터 호텔 2,2015-12-24,7029012585.0,0.40%,962770.0,686.0,12388.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체 관람가,89.0,젠디 타타코브스키,12.0,겨울
49.0,허삼관,2015-01-14,7408943569.0,0.50%,955679.0,621.0,27645.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,124.0,하정우,1.0,겨울
50.0,살인의뢰,2015-03-12,6986456737.0,0.40%,855980.0,646.0,35244.0,한국,한국,씨네그루(주)다우기술,범죄,청소년 관람불가,102.0,손용호,3.0,봄
51.0,손님,2015-07-09,6385937880.0,0.40%,828025.0,634.0,23404.0,한국,한국,(주)씨제이이엔엠,판타지,15세 관람가,107.0,김광태,7.0,여름
52.0,인시디어스 3,2015-07-09,6396650620.0,0.40%,825517.0,416.0,20824.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),공포,15세 관람가,97.0,리 워넬,7.0,여름
53.0,하트 오브 더 씨,2015-12-03,6777420023.0,0.40%,809399.0,535.0,29219.0,미국,미국,워너브러더스 코리아(주),액션,12세 관람가,121.0,론 하워드,12.0,겨울
54.0,헝거게임: 더 파이널,2015-11-18,6069167163.0,0.40%,806520.0,661.0,26973.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세 관람가,137.0,프란시스 로렌스,11.0,가을
55.0,기술자들,2014-12-24,6241817635.0,0.40%,786257.0,481.0,18808.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세 관람가,116.0,김홍선,12.0,겨울
56.0,신데렐라,2015-03-19,5500502900.0,0.30%,716491.0,531.0,27508.0,미국,미국,월트디즈니컴퍼니코리아(주),멜로/로맨스,전체 관람가,113.0,케네스 브래너,3.0,봄
57.0,픽셀,2015-07-16,5390909947.0,0.30%,681945.0,557.0,21307.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),SF,12세 관람가,106.0,크리스 콜럼버스,7.0,여름
58.0,열정같은소리하고있네,2015-11-25,4758959902.0,0.30%,654102.0,566.0,30459.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세 관람가,106.0,정기훈,11.0,가을
59.0,특종: 량첸살인기,2015-10-22,4754763118.0,0.30%,616481.0,776.0,31783.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,스릴러,15세 관람가,125.0,노덕,10.0,가을
60.0,서부전선,2015-09-24,4751661400.0,0.30%,609063.0,509.0,18935.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,전쟁,12세 관람가,112.0,천성일,9.0,가을
61.0,채피,2015-03-12,4620380654.0,0.30%,573661.0,536.0,24669.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세 관람가,120.0,닐 블롬캠프,3.0,봄
62.0,극장판 요괴워치: 탄생의 비밀이다냥!,2015-07-22,3888539100.0,0.20%,550924.0,509.0,11765.0,일본,일본,(주)씨제이이엔엠,애니메이션,전체 관람가,97.0,타카하시 시게하루,7.0,여름
63.0,헬머니,2015-03-05,4120166972.0,0.30%,522929.0,422.0,24846.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,청소년 관람불가,108.0,신한솔,3.0,봄
64.0,도라에몽 : 스탠 바이 미,2015-02-12,3684756429.0,0.20%,503968.0,432.0,13063.0,일본,일본,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체 관람가,96.0,야기 류이치,2.0,겨울
65.0,위험한 상견례 2,2015-04-29,3575384754.0,0.20%,472693.0,429.0,18409.0,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",멜로/로맨스,15세 관람가,119.0,김진영,4.0,봄
66.0,명탐정 코난 : 화염의 해바라기,2015-08-05,3296031400.0,0.20%,471205.0,433.0,8877.0,일본,일본,(주)씨제이이엔엠,애니메이션,전체 관람가,112.0,시즈노 코분,8.0,여름
67.0,순수의 시대,2015-03-05,3740948828.0,0.20%,469891.0,546.0,23623.0,한국,한국,(주)씨제이이엔엠,드라마,청소년 관람불가,113.0,안상훈,3.0,봄
68.0,오피스,2015-09-03,3460460230.0,0.20%,441208.0,425.0,18575.0,한국,한국,(주)리틀빅픽쳐스,스릴러,15세 관람가,111.0,홍원찬,9.0,가을
69.0,"협녀, 칼의 기억",2015-08-13,3360045489.0,0.20%,431310.0,572.0,16099.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세 관람가,121.0,박흥식,8.0,여름
70.0,무뢰한,2015-05-27,3262207431.0,0.20%,414641.0,482.0,23660.0,한국,한국,CGV아트하우스,멜로/로맨스,청소년 관람불가,118.0,오승욱,5.0,봄
71.0,판타스틱 4,2015-08-20,3029310600.0,0.20%,399667.0,451.0,16241.0,미국,미국,이십세기폭스코리아(주),액션,12세 관람가,105.0,팀 스토리,8.0,여름
72.0,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,2902090600.0,0.20%,391760.0,544.0,10893.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체 관람가,62.0,박영균,12.0,겨울
73.0,내 심장을 쏴라,2015-01-28,2856859132.0,0.20%,387409.0,452.0,20042.0,한국,한국,"(주)리틀빅픽쳐스,(주)이수C&E",드라마,15세 관람가,102.0,문제용,1.0,겨울
74.0,소수의견,2015-06-24,2892681205.0,0.20%,383582.0,398.0,16273.0,한국,한국,(주)시네마서비스,드라마,15세 관람가,126.0,김성제,6.0,여름
75.0,그레이의 50가지 그림자,2015-02-26,2918598796.0,0.20%,364415.0,512.0,19227.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,청소년 관람불가,105.0,제임스 폴리,2.0,겨울
